action,type,guard,break_glass,registry_line,domain,current_owner,direct_branch_line,target_owner
a:bx_pin_set,edit,require_redis,False,297,barter,src/bot/bot.js,34861,src/bot/domains/barter/callbacks.js
a:bx_preset_apply,edit,require_redis,False,298,barter,src/bot/bot.js,35031,src/bot/domains/barter/callbacks.js
a:bx_preset_home,edit,none,False,299,barter,src/bot/bot.js,35018,src/bot/domains/barter/callbacks.js
a:bx_proof_link,edit,require_redis,False,300,barter,src/bot/bot.js,34664,src/bot/domains/barter/callbacks.js
a:bx_proof_photo,edit,require_redis,False,301,barter,src/bot/bot.js,34683,src/bot/domains/barter/callbacks.js
a:bx_proofs,edit,require_redis,False,302,barter,src/bot/bot.js,34648,src/bot/domains/barter/callbacks.js
a:bx_pub,edit,require_redis,False,303,barter,src/bot/bot.js,33921,src/bot/domains/barter/callbacks.js
a:bx_pub_done,edit,none,False,304,barter,src/bot/bot.js,25327,src/bot/domains/barter/callbacks.js
a:bx_publish,edit,require_redis,False,305,barter,src/bot/bot.js,35395,src/bot/domains/barter/callbacks.js
a:bx_publish_hint,edit,require_redis,False,306,barter,src/bot/bot.js,35365,src/bot/domains/barter/callbacks.js
a:bx_report_offer,edit,require_redis,False,307,barter,src/bot/bot.js,34328,src/bot/domains/barter/callbacks.js
a:bx_report_thread,edit,require_redis,False,308,barter,src/bot/bot.js,34341,src/bot/domains/barter/callbacks.js
a:bx_restore,edit,require_redis,False,309,barter,src/bot/bot.js,35614,src/bot/domains/barter/callbacks.js
a:bx_resume,edit,require_redis,False,310,barter,src/bot/bot.js,35588,src/bot/domains/barter/callbacks.js
a:bx_retry_help,edit,none,False,311,barter,src/bot/bot.js,34638,src/bot/domains/barter/callbacks.js
a:bx_smart,edit,require_redis,False,312,barter,src/bot/bot.js,33622,src/bot/domains/barter/callbacks.js
a:bx_smart_reset,edit,require_redis,False,313,barter,src/bot/bot.js,33660,src/bot/domains/barter/callbacks.js
a:bx_stage,edit,require_redis,False,314,barter,src/bot/bot.js,34702,src/bot/domains/barter/callbacks.js
a:bx_thread,edit,none,False,315,barter,src/bot/bot.js,34621,src/bot/domains/barter/callbacks.js
a:bx_thread_close_do,edit,require_redis,False,316,barter,src/bot/bot.js,34805,src/bot/domains/barter/callbacks.js
a:bx_thread_close_q,edit,none,False,317,barter,src/bot/bot.js,34788,src/bot/domains/barter/callbacks.js
a:bx_thread_del_do,edit,require_redis,False,318,barter,src/bot/bot.js,34843,src/bot/domains/barter/callbacks.js
a:bx_thread_del_q,edit,none,False,319,barter,src/bot/bot.js,34826,src/bot/domains/barter/callbacks.js
a:bx_thread_new,edit,require_redis,False,320,barter,unresolved_or_generated,,src/bot/domains/barter/callbacks.js
a:bx_thread_reply,edit,require_redis,False,321,barter,src/bot/bot.js,34769,src/bot/domains/barter/callbacks.js
a:bx_thread_triage,edit,require_redis,False,322,barter,src/bot/bot.js,34736,src/bot/domains/barter/callbacks.js
a:bx_thread_write,edit,require_redis,False,323,barter,unresolved_or_generated,,src/bot/domains/barter/callbacks.js
a:bx_type,edit,require_redis,False,324,barter,src/bot/bot.js,35099,src/bot/domains/barter/callbacks.js
a:bx_view,edit,none,False,325,barter,src/bot/bot.js,35491,src/bot/domains/barter/callbacks.js
a:bx_w5,edit,require_redis,False,326,barter,src/bot/bot.js,35130,src/bot/domains/barter/callbacks.js
a:bx_w6,edit,require_redis,False,327,barter,src/bot/bot.js,35141,src/bot/domains/barter/callbacks.js
a:bx_wtagclr,edit,require_redis,False,328,barter,src/bot/bot.js,35221,src/bot/domains/barter/callbacks.js
a:bx_wtagdone,edit,none,False,329,barter,src/bot/bot.js,35241,src/bot/domains/barter/callbacks.js
a:bx_wtagpick,edit,require_redis,False,330,barter,src/bot/bot.js,35181,src/bot/domains/barter/callbacks.js
a:bx_wtags,edit,require_redis,False,331,barter,src/bot/bot.js,35171,src/bot/domains/barter/callbacks.js
a:bx_wtagt,edit,require_redis,False,332,barter,src/bot/bot.js,35193,src/bot/domains/barter/callbacks.js
a:bx_wtext,edit,require_redis,False,333,barter,src/bot/bot.js,35160,src/bot/domains/barter/callbacks.js
a:cur_add_username,edit,none,False,334,curation,src/bot/bot.js,35865,src/bot/domains/curation/callbacks.js
a:cur_audit,edit,none,False,335,curation,src/bot/bot.js,35901,src/bot/domains/curation/callbacks.js
